ant,id,Score,Viewcount,Body
162,918886,1850,2004528,"<p>I have this string stored in a variable:</p>

<pre><code>IN=""bla@some.com;john@home.com""
</code></pre>

<p>Now I would like to split the strings by <code>;</code> delimiter so that I have:</p>

<pre><code>ADDR1=""bla@some.com""
ADDR2=""john@home.com""
</code></pre>

<p>I don't necessarily need the <code>ADDR1</code> and <code>ADDR2</code> variables. If they are elements of an array that's even better.</p>

<hr>

<p>After suggestions from the answers below, I ended up with the following which is what I was after:</p>

<pre><code>#!/usr/bin/env bash

IN=""bla@some.com;john@home.com""

mails=$(echo $IN | tr "";"" ""\n"")

for addr in $mails
do
    echo ""&gt; [$addr]""
done
</code></pre>

<p>Output:</p>

<pre><code>&gt; [bla@some.com]
&gt; [john@home.com]
</code></pre>

<p>There was a solution involving setting <a href=""http://en.wikipedia.org/wiki/Internal_field_separator"" rel=""noreferrer"">Internal_field_separator</a> (IFS) to <code>;</code>. I am not sure what happened with that answer, how do you reset <code>IFS</code> back to default?</p>

<p>RE: <code>IFS</code> solution, I tried this and it works, I keep the old <code>IFS</code> and then restore it:</p>

<pre><code>IN=""bla@some.com;john@home.com""

OIFS=$IFS
IFS=';'
mails2=$IN
for x in $mails2
do
    echo ""&gt; [$x]""
done

IFS=$OIFS
</code></pre>

<p>BTW, when I tried </p>

<pre><code>mails2=($IN)
</code></pre>

<p>I only got the first string when printing it in loop, without brackets around <code>$IN</code> it works.</p>
"
163,11828270,3509,1995740,"<p>I'm stuck and cannot escape. It says:</p>

<pre><code>""type :quit&lt;Enter&gt; to quit VIM""
</code></pre>

<p>But when I type that it simply appears in the object body.</p>
"
164,1027354,2380,1989168,"<p>I have created an unordered list. I feel the bullets in the unordered list are bothersome, so I want to remove them. </p>

<p>Is it possible to have a list without bullets?</p>
"
165,215497,2968,1986919,"<p>In Java, are there clear rules on when to use each of access modifiers, namely the default (package private), <code>public</code>, <code>protected</code> and <code>private</code>, while making <code>class</code> and <code>interface</code> and dealing with inheritance?</p>
"
166,1519006,3004,1983332,"<p>I created a local branch which I want to 'push' upstream. There is a similar question here on Stack Overflow on how to track a newly created remote branch. </p>

<p>However, my workflow is slightly different. <strong>First</strong> I want to create a local branch, and I will only push it upstream when I'm satisfied and want to share my branch.</p>

<ul>
<li>How would I do that? (my google searches did not seem to come up with anything).</li>
<li>How would I tell my colleagues to pull it from the upstream repository?</li>
</ul>

<p><strong>UPDATE With Git 2.0 there is a simpler answer</strong> I have written below: <a href=""https://stackoverflow.com/a/27185855/109305"">https://stackoverflow.com/a/27185855/109305</a></p>
"
167,244777,7007,1976643,"<p>Can I use comments inside a JSON file? If so, how?</p>
"
168,1168807,1242,1969330,"<p>Here is my object literal:</p>

<pre><code>var obj = {key1: value1, key2: value2};
</code></pre>

<p>How can I add <code>{key3: value3}</code> to the object?</p>
"
169,2389361,3631,1967683,"<p>Within my master branch, I did a <code>git merge some-other-branch</code> locally, but never pushed the changes to origin master. I didn't mean to merge, so I'd like to undo it. When doing a <code>git status</code> after my merge, I was getting this message:</p>

<pre><code># On branch master
# Your branch is ahead of 'origin/master' by 4 commits.
</code></pre>

<p>Based upon some <a href=""http://www.gitready.com/intermediate/2009/03/16/rolling-back-changes-with-revert.html"" rel=""noreferrer"">instructions I found</a>, I tried running</p>

<pre><code>git revert HEAD -m 1
</code></pre>

<p>but now I'm getting this message with <code>git status</code>:</p>

<pre><code># On branch master
# Your branch is ahead of 'origin/master' by 5 commits.
</code></pre>

<p>I don't want my branch to be ahead by any number of commits. How do I get back to that point?</p>
"
170,1643227,2228,1967055,"<p>How can I get the selected text (not the selected value) from a drop-down list in jQuery?</p>
"
171,1951742,1839,1961226,"<p>I want to make a symbolic link in Linux.  I have written this bash command where the first path is the folder I want link into and the second path is the compiled source. </p>

<pre><code>ln -s '+basebuild+'/IpDome-kernel/kernel /home/build/sandbox/gen2/basebuild/IpDome-kernel/kernal 
</code></pre>

<p>Is this correct?</p>
"
172,17271319,1676,1958226,"<p>I spent most of the day yesterday searching for a clear answer for installing <code>pip</code> (package manager for Python). I can't find a good solution.</p>

<p>How do I install it?</p>
"
173,606191,1906,1947634,"<p>I'm using this code to get standard output from an external program:</p>

<pre><code>&gt;&gt;&gt; from subprocess import *
&gt;&gt;&gt; command_stdout = Popen(['ls', '-l'], stdout=PIPE).communicate()[0]
</code></pre>

<p>The communicate() method returns an array of bytes:</p>

<pre><code>&gt;&gt;&gt; command_stdout
b'total 0\n-rw-rw-r-- 1 thomas thomas 0 Mar  3 07:03 file1\n-rw-rw-r-- 1 thomas thomas 0 Mar  3 07:03 file2\n'
</code></pre>

<p>However, I'd like to work with the output as a normal Python string. So that I could print it like this:</p>

<pre><code>&gt;&gt;&gt; print(command_stdout)
-rw-rw-r-- 1 thomas thomas 0 Mar  3 07:03 file1
-rw-rw-r-- 1 thomas thomas 0 Mar  3 07:03 file2
</code></pre>

<p>I thought that's what the <a href=""http://docs.python.org/3.0/library/binascii.html?highlight=b2a#binascii.b2a_qp"" rel=""noreferrer"">binascii.b2a_qp()</a> method is for, but when I tried it, I got the same byte array again:</p>

<pre><code>&gt;&gt;&gt; binascii.b2a_qp(command_stdout)
b'total 0\n-rw-rw-r-- 1 thomas thomas 0 Mar  3 07:03 file1\n-rw-rw-r-- 1 thomas thomas 0 Mar  3 07:03 file2\n'
</code></pre>

<p>How do I convert the bytes value back to string? I mean, using the ""batteries"" instead of doing it manually. And I'd like it to be OK with Python&nbsp;3.</p>
"
174,979975,1222,1937177,"<p>I have a URL with some GET parameters as follows:</p>

<pre><code>www.test.com/t.html?a=1&amp;b=3&amp;c=m2-m3-m4-m5 
</code></pre>

<p>I need to get the whole value of <code>c</code>. I tried to read the URL, but I got only <code>m2</code>. How do I do this using JavaScript?</p>
"
175,6159900,966,1933199,"<p>I'm used to doing <code>print &gt;&gt;f, ""hi there""</code></p>

<p>However, it seems that <code>print &gt;&gt;</code> is getting deprecated. What is the recommended way to do the line above?</p>

<p><b>Update</b>:
Regarding all those answers with <code>""\n""</code>...is this universal or Unix-specific? IE, should I be doing <code>""\r\n""</code> on Windows?</p>
"
176,29973357,990,1918693,"<p>What is the equivalent of <kbd>Ctrl</kbd> + <kbd>K</kbd> + <kbd>F</kbd> and <kbd>Ctrl</kbd> + <kbd>K</kbd> + <kbd>D</kbd> on Windows in Visual Studio for formatting, or ""beautifying"" code in the Visual Studio Code editor?</p>
"
177,4849652,1062,1914051,"<p>Is it possible to query for table names which contain columns being</p>

<pre><code>LIKE '%myName%'
</code></pre>

<p>?</p>
"
178,522563,3273,1906923,"<p>How do I access the index in a <code>for</code> loop like the following?</p>

<pre><code>ints = [8, 23, 45, 12, 78]
for i in ints:
    print('item #{} = {}'.format(???, i))
</code></pre>

<p>I want to get this output:</p>

<pre class=""lang-none prettyprint-override""><code>item #1 = 8
item #2 = 23
item #3 = 45
item #4 = 12
item #5 = 78
</code></pre>

<p>When I loop through it using a <code>for</code> loop, how do I access the loop index, from 1 to 5 in this case?</p>
"
179,966225,1077,1903056,"<p>I have been reading online and some places say it isn't possible, some say it is and then give an example and others refute the example, etc. </p>

<ol>
<li><p>How do I declare a 2 dimensional array in JavaScript? (assuming it's possible) </p></li>
<li><p>How would I access its members? (<code>myArray[0][1]</code> or <code>myArray[0,1]</code>?)</p></li>
</ol>
"
180,679915,2648,1892856,"<p>After an AJAX request, sometimes my application may return an empty object, like:</p>

<pre><code>var a = {};
</code></pre>

<p>How can I check whether that's the case?</p>
"
181,4037939,1519,1890295,"<p>I am trying to run a <a href=""/questions/tagged/cmd"" class=""post-tag"" title=""show questions tagged &#39;cmd&#39;"" rel=""tag"">cmd</a> file that calls a <a href=""/questions/tagged/powershell"" class=""post-tag"" title=""show questions tagged &#39;powershell&#39;"" rel=""tag"">powershell</a> script from <code>cmd.exe</code>, and I am getting the below error:</p>

<blockquote>
  <p><code>Management_Install.ps1</code> cannot be loaded because the execution of scripts is disabled on this system.</p>
</blockquote>

<p>I have run</p>

<pre><code>Set-ExecutionPolicy -ExecutionPolicy Unrestricted
</code></pre>

<p>and when I run <code>Get-ExecutionPolicy</code> from <a href=""/questions/tagged/powershell"" class=""post-tag"" title=""show questions tagged &#39;powershell&#39;"" rel=""tag"">powershell</a>, I get <code>Unrestricted</code> back.</p>

<pre><code>PS C:\Users\Administrator\&gt; Get-ExecutionPolicy
Unrestricted
</code></pre>

<hr>

<pre><code>C:\Projects\Microsoft.Practices.ESB\Source\Samples\Management Portal\Install\Scripts\&gt; powershell .\Management_Install.ps1 1

WARNING: Running x86 PowerShell...
</code></pre>

<blockquote>
  <p>File <code>C:\Projects\Microsoft.Practices.ESB\Source\Samples\Management Portal\Install\Scripts\Management_Install.ps1</code> cannot be loaded because the execution of scripts is disabled on this system. Please see ""<code>get-help about_signing</code>"" for more details.</p>
  
  <p>At line:1 char:25</p>
  
  <ul>
  <li><p><code>.\Management_Install.ps1</code> &lt;&lt;&lt;&lt;  1</p>
  
  <ul>
  <li><p>CategoryInfo          : NotSpecified: (:) [], PSSecurityException</p></li>
  <li><p>FullyQualifiedErrorId : RuntimeException</p></li>
  </ul></li>
  </ul>
</blockquote>

<pre><code>C:\Projects\Microsoft.Practices.ESB\Source\Samples\Management Portal\Install\Scripts\&gt; PAUSE

Press any key to continue . . .
</code></pre>

<hr>

<p>The system is Windows Server 2008R2.</p>

<p>What am I doing wrong?</p>
"
182,16476924,1475,1889530,"<p>I have a <code>DataFrame</code> from pandas:</p>

<pre><code>import pandas as pd
inp = [{'c1':10, 'c2':100}, {'c1':11,'c2':110}, {'c1':12,'c2':120}]
df = pd.DataFrame(inp)
print df
</code></pre>

<p>Output:</p>

<pre><code>   c1   c2
0  10  100
1  11  110
2  12  120
</code></pre>

<p>Now I want to iterate over the rows of this frame. For every row I want to be able to access its elements (values in cells) by the name of the columns. For example:</p>

<pre><code>for row in df.rows:
   print row['c1'], row['c2']
</code></pre>

<p>Is it possible to do that in pandas?</p>

<p>I found this <a href=""https://stackoverflow.com/questions/7837722/what-is-the-most-efficient-way-to-loop-through-dataframes-with-pandas"">similar question</a>. But it does not give me the answer I need. For example, it is suggested there to use:</p>

<pre><code>for date, row in df.T.iteritems():
</code></pre>

<p>or</p>

<pre><code>for row in df.iterrows():
</code></pre>

<p>But I do not understand what the <code>row</code> object is and how I can work with it.</p>
"
183,14551194,1375,1881570,"<p>In an HTTP <strong>GET</strong> request, parameters are sent as a <strong><em>query string</em></strong>:</p>

<pre>http://example.com/page<b><i>?parameter=value&also=another</i></b></pre>

<p>In an HTTP <strong>POST</strong> request, the parameters are not sent along with the URI.</p>

<p><strong><em>Where are the values?</em></strong> In the request header? In the request body? What does it look like?</p>
"
184,11285613,907,1879971,"<p>I have data in different columns but I don't know how to extract it to save it in another variable.</p>

<pre><code>index  a   b   c
1      2   3   4
2      3   4   5
</code></pre>

<p>How do I select <code>'a'</code>, <code>'b'</code> and save it in to df1?</p>

<p>I tried </p>

<pre><code>df1 = df['a':'b']
df1 = df.ix[:, 'a':'b']
</code></pre>

<p>None seem to work.</p>
"
185,8467424,2128,1877467,"<p>In Bash, tried this:</p>

<pre><code>echo -e ""hello\nworld""
</code></pre>

<p>But it doesn't print a newline, only <code>\n</code>. How can I make it print the newline?</p>

<p>I'm using Ubuntu 11.04.</p>
"
186,1128723,2173,1873551,"<p>I have a <code>String[]</code> with values like so:</p>

<pre><code>public static final String[] VALUES = new String[] {""AB"",""BC"",""CD"",""AE""};
</code></pre>

<p>Given <code>String s</code>, is there a good way of testing whether <code>VALUES</code> contains <code>s</code>?</p>
"
187,122102,5181,1872772,"<p>What is the most efficient way to clone a JavaScript object? I've seen <code>obj = eval(uneval(o));</code> being used, but <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/uneval"" rel=""noreferrer"">that's non-standard and only supported by Firefox</a>.<br/><br/> I've done things like <code>obj = JSON.parse(JSON.stringify(o));</code> but question the efficiency. <br/><br/> I've also seen recursive copying functions with various flaws.
<br />
I'm surprised no canonical solution exists.</p>
"
188,653714,1510,1872024,"<p>How do I do a <code>SELECT * INTO [temp table] FROM [stored procedure]</code>? Not <code>FROM [Table]</code> and without defining <code>[temp table]</code>?</p>

<p><code>Select</code> all data from <code>BusinessLine</code> into <code>tmpBusLine</code> works fine.</p>

<pre><code>select *
into tmpBusLine
from BusinessLine
</code></pre>

<p>I am trying the same, but using a <code>stored procedure</code> that returns data, is not quite the same.</p>

<pre><code>select *
into tmpBusLine
from
exec getBusinessLineHistory '16 Mar 2009'
</code></pre>

<p><strong>Output message:</strong></p>

<blockquote>
  <p>Msg 156, Level 15, State 1, Line 2
  Incorrect syntax near the keyword
  'exec'.</p>
</blockquote>

<p>I have read several examples of creating a temporary table with the same structure as the output stored procedure, which works fine, but it would be nice to not supply any columns.</p>
"
189,40480,6203,1869020,"<p>I always thought Java was <strong>pass-by-reference</strong>.</p>

<p>However, I've seen a couple of blog posts (for example, <a href=""http://javadude.com/articles/passbyvalue.htm"" rel=""noreferrer"">this blog</a>) that claim that it isn't.</p>

<p>I don't think I understand the distinction they're making. </p>

<p>What is the explanation?</p>
"
190,1026069,3521,1862978,"<p>How do I make the first letter of a string uppercase, but not change the case of any of the other letters?</p>

<p>For example:</p>

<ul>
<li><code>""this is a test""</code> -> <code>""This is a test""</code></li>
<li><code>""the Eiffel Tower""</code> -> <code>""The Eiffel Tower""</code></li>
<li><code>""/index.html""</code> -> <code>""/index.html""</code></li>
</ul>
"
191,10422949,632,1862465,"<p>I am using something similar to the following code: </p>

<pre><code>&lt;div style=""opacity:0.4; background-image:url(...);""&gt;
    &lt;div style=""opacity:1.0;""&gt;
        Text
    &lt;/div&gt;
&lt;/div&gt;
</code></pre>

<p>I expected this to make the background have an opacity of 0.4 and the text to have 100% opacity. Instead they both have an opacity of 0.4. </p>
"
192,3087975,1850,1861704,"<p>I've got a list, and I have a click handler for its items:</p>

<pre><code>&lt;ul&gt;
  &lt;li&gt;foo&lt;/li&gt;
  &lt;li&gt;goo&lt;/li&gt;
&lt;/ul&gt;
</code></pre>

<p>How can I change the mouse pointer into a hand pointer (like when hovering over a button)? Right now the pointer turns into a text selection pointer when I hover over the list items.</p>
"
193,4935632,1636,1859021,"<p>I want to parse a JSON string in JavaScript. The response is something like</p>

<pre><code>var response = '{""result"":true,""count"":1}';
</code></pre>

<p>How can I get the values <code>result</code> and <code>count</code> from this?</p>
"
194,585945,1087,1851902,"<p>Say I have the following CSS and HTML code:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>#header {
  height: 150px;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div id=""header""&gt;
  &lt;h1&gt;Header title&lt;/h1&gt;
  Header content (one or multiple lines)
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<p>The header section is fixed height, but the header content may change.</p>

<p>I would like the content of the header to be vertically aligned to the bottom of the header section, so the last line of text ""sticks"" to the bottom of the header section.</p>

<p>So if there is only one line of text, it would be like:</p>

<pre><code>-----------------------------
| Header title
|
|
|
| header content (resulting in one line)
-----------------------------
</code></pre>

<p>And if there were three lines:</p>

<pre><code>-----------------------------
| Header title
|
| header content (which is so
| much stuff that it perfectly
| spans over three lines)
-----------------------------
</code></pre>

<p>How can this be done in CSS?</p>
"
195,229551,2280,1851865,"<p>I have a string in Bash:</p>

<pre><code>string=""My string""
</code></pre>

<p>How can I test if it contains another string?</p>

<pre><code>if [ $string ?? 'foo' ]; then
  echo ""It's there!""
fi
</code></pre>

<p>Where <code>??</code> is my unknown operator. Do I use echo and <code>grep</code>?</p>

<pre><code>if echo ""$string"" | grep 'foo'; then
  echo ""It's there!""
fi
</code></pre>

<p>That looks a bit clumsy.</p>
"
196,1960240,876,1850054,"<p>I have a form with name <strong><em><code>orderproductForm</code></em></strong> and an undefined number of inputs.</p>

<p>I want to do some kind of jQuery.get or ajax or anything like that that would call a page through Ajax, and send along all the inputs of the form <strong><em><code>orderproductForm</code></em></strong>.</p>

<p>I suppose one way would be to do something like</p>

<pre><code>jQuery.get(""myurl"",
          {action : document.orderproductForm.action.value,
           cartproductid : document.orderproductForm.cartproductid.value,
           productid : document.orderproductForm.productid.value,
           ...
</code></pre>

<p>However I do not know exactly all the form inputs. Is there a feature, function or something that would just send ALL the form inputs?</p>
"
197,1575141,1993,1839901,"<p>I have a layout with two columns - a left <code>div</code> and a right <code>div</code>.</p>

<p>The right <code>div</code> has a grey <code>background-color</code>, and I need it to expand vertically depending on the height of the user's browser window. Right now the <code>background-color</code> ends at the last piece of content in that <code>div</code>. </p>

<p>I've tried <code>height:100%</code>, <code>min-height:100%;</code>, etc.</p>
"
198,2485466,759,1822087,"<p>Here's my code:</p>

<pre><code>def front_back(a, b):
  # +++your code here+++
  if len(a) % 2 == 0 &amp;&amp; len(b) % 2 == 0:
    return a[:(len(a)/2)] + b[:(len(b)/2)] + a[(len(a)/2):] + b[(len(b)/2):] 
  else:
    #todo! Not yet done. :P
  return
</code></pre>

<p>I'm getting an error in the IF conditional. What am I doing wrong?</p>
"
199,3239598,1312,1819251,"<pre><code>&lt;div id=""test""&gt;&lt;/div&gt;
&lt;script&gt;
  $(document).ready(function() {
    alert($('#test').id);
  });  
&lt;/script&gt;
</code></pre>

<p>Why doesn't the above work, and how should I do this?</p>
"
200,1014861,2953,1814021,"<p>How do I select the <code>&lt;li&gt;</code> element that is a direct parent of the anchor element?</p>

<p>As an example, my CSS would be something like this:</p>

<pre><code>li &lt; a.active {
    property: value;
}
</code></pre>

<p>Obviously there are ways of doing this with JavaScript, but I'm hoping that there is some sort of workaround that exists native to CSS Level 2.</p>

<p>The menu that I am trying to style is being spewed out by a CMS, so I can't move the active element to the <code>&lt;li&gt;</code> element... (unless I theme the menu creation module which I'd rather not do).</p>

<p>Any ideas?</p>
"
201,10382929,1524,1812793,"<p>I am trying to use <a href=""http://en.wikipedia.org/wiki/Notepad%2B%2B"" rel=""noreferrer"">Notepad++</a> as my all-in-one tool edit, run, compile, etc.</p>

<p>I have <a href=""http://en.wikipedia.org/wiki/Java_Virtual_Machine#Execution_environment"" rel=""noreferrer"">JRE</a> installed, and I have setup my path variable to the <code>.../bin</code> directory.</p>

<p>When I run my ""Hello world"" in Notepad++, I get this message:</p>

<pre class=""lang-none prettyprint-override""><code>java.lang.UnsupportedClassVersionError: test_hello_world :
 Unsupported major.minor version 51.0
    at java.lang.ClassLoader.defineClass1(Native Method)
    at java.lang.ClassLoader.defineClassCond(Unknown Source)
       .........................................
</code></pre>

<p>I think the problem here is about versions; some versions of Java may be old or too new.</p>

<ol>
<li>How do I fix it?</li>
<li>Should I install the JDK, and setup my path variable to the JDK instead of JRE?</li>
<li>What is the difference between the <code>PATH</code> variable in JRE or JDK?</li>
</ol>
"
202,858572,700,1801101,"<p>We create a <code>Set</code> as:</p>

<pre><code>Set myset = new HashSet()
</code></pre>

<p>How do we create a <code>List</code> in Java?</p>
"
203,8328481,396,1800568,"<p>I have a web directory <code>/www</code> and a folder in that directory called <code>store</code>.</p>

<p>Within <code>store</code> are several files and folders. I want to give the folder <code>store</code> and all files and folders within the <code>store</code> folder all permissions. </p>

<p>How do I do this? I am guessing via .htaccess.</p>
"
204,273159,459,1800298,"<p>I'm trying to install a site under an alternative port on a server, but the port may be closed by a firewall. Is there a way to ping out or in, on a specific port, to see if it is open?</p>
"
205,930397,1820,1800025,"<p>In Python, how do you get the last element of a list?</p>
"
206,12555323,867,1794823,"<p>I have the following indexed DataFrame with named columns and rows not- continuous numbers:</p>

<pre><code>          a         b         c         d
2  0.671399  0.101208 -0.181532  0.241273
3  0.446172 -0.243316  0.051767  1.577318
5  0.614758  0.075793 -0.451460 -0.012493
</code></pre>

<p>I would like to add a new column, <code>'e'</code>, to the existing data frame and do not want to change anything in the data frame (i.e., the new column always has the same length as the DataFrame). </p>

<pre><code>0   -0.335485
1   -1.166658
2   -0.385571
dtype: float64
</code></pre>

<p>I tried different versions of <code>join</code>, <code>append</code>, <code>merge</code>, but I did not get the result I wanted, only errors at most. How can I add column <code>e</code> to the above example? </p>
"
207,492994,1754,1792237,"<p>Can someone suggest a way to compare the values of <strong>two dates</strong> greater than, less than, and not in the past using JavaScript? The values will be coming from text boxes.</p>
"
208,11179406,724,1787988,"<p>I was under the impression that I could get the value of a select input by doing this <code>$(this).val();</code> and applying the <code>onchange</code> parameter to the select field.</p>

<p>It would appear it only works if I reference the ID. </p>

<p>How do I do it using this.</p>
"
209,6996603,1869,1785258,"<p>How to delete a file or folder in Python?</p>
"
210,26551,1086,1783850,"<p>I need to pass an ID and a password to a batch file at the time of running rather than hardcoding them into the file.</p>

<p>Here's what the command line looks like:</p>

<pre><code>test.cmd admin P@55w0rd &gt; test-log.txt
</code></pre>
"
211,201101,928,1780840,"<p>I have a large array in C (not C++ if that makes a difference). I want to initialize all members to the same value. I could swear I once knew a simple way to do this. I could use <code>memset()</code> in my case, but isn't there a way to do this that is built right into the C syntax?</p>
"
212,394809,5520,1777450,"<p>If Python does not have a ternary conditional operator, is it possible to simulate one using other language constructs?</p>
"
213,952914,2867,1777425,"<p>I wonder whether there is a shortcut to make a simple list out of list of lists in Python.</p>

<p>I can do that in a <code>for</code> loop, but maybe there is some cool ""one-liner""? I tried it with <code>reduce()</code>, but I get an error.</p>

<p><strong>Code</strong></p>

<pre><code>l = [[1, 2, 3], [4, 5, 6], [7], [8, 9]]
reduce(lambda x, y: x.extend(y), l)
</code></pre>

<p><strong>Error message</strong></p>

<pre class=""lang-none prettyprint-override""><code>Traceback (most recent call last):
  File ""&lt;stdin&gt;"", line 1, in &lt;module&gt;
  File ""&lt;stdin&gt;"", line 1, in &lt;lambda&gt;
AttributeError: 'NoneType' object has no attribute 'extend'
</code></pre>
"
214,1098040,2699,1776813,"<p>How do I check if a particular key exists in a JavaScript object or array?</p>

<p>If a key doesn't exist, and I try to access it, will it return false? Or throw an error?</p>
"
215,37538,890,1775512,"<p>How do I determine the size of my array in C? </p>

<p>That is, the number of elements the array can hold?</p>
"
216,684672,2670,1773739,"<p>I have a JavaScript object like the following:</p>

<pre><code>var p = {
    ""p1"": ""value1"",
    ""p2"": ""value2"",
    ""p3"": ""value3""
};
</code></pre>

<p>Now I want to loop through all <code>p</code> elements (<code>p1</code>, <code>p2</code>, <code>p3</code>...) And get their keys and values. How can I do that?</p>

<p>I can modify the JavaScript object if necessary. My ultimate goal is to loop through some key value pairs and if possible I want to avoid using <code>eval</code>.</p>
"
217,263965,2294,1771584,"<p>Can I convert a string representing a boolean value (e.g., 'true', 'false') into a intrinsic type in JavaScript?</p>

<p>I have a hidden form in HTML that is updated based upon a user's selection within a list. This form contains some fields which represent boolean values and are dynamically populated with an intrinsic boolean value. However, once this value is placed into the hidden input field it becomes a string.</p>

<p>The only way I could find to determine the field's boolean value, once it was converted into a string, was to depend upon the literal value of its string representation.</p>

<pre><code>var myValue = document.myForm.IS_TRUE.value;
var isTrueSet = myValue == 'true';
</code></pre>

<p>Is there a better way to accomplish this?</p>
"
218,306583,2175,1768101,"<p>I have a layout similar to this:</p>

<pre><code>&lt;div id=""...""&gt;&lt;img src=""...""&gt;&lt;/div&gt;
</code></pre>

<p>and would like to use a jQuery selector to select the child <code>img</code> inside the <code>div</code> on click.</p>

<p>To get the <code>div</code>, I've got this selector:</p>

<pre><code>$(this)
</code></pre>

<p>How can I get the child <code>img</code> using a selector?</p>
"
219,215718,4192,1766197,"<p>I have made some changes to a file which has been committed a few times as part of a group of files, but now want to reset/revert the changes on it back to a previous version. </p>

<p>I have done a <code>git log</code> along with a <code>git diff</code> to find the revision I need, but just have no idea how to get the file back to its former state in the past.</p>
"
220,2075337,612,1763732,"<p>How come this code throws an</p>

<blockquote>
  <p>Uncaught ReferenceError: $ is not defined</p>
</blockquote>

<p>when it was OK before?   </p>

<pre class=""lang-js prettyprint-override""><code>$(document).ready(function() {
    $('#tabs &gt; ul').tabs({ fx: { opacity: 'toggle' } });
    $('#featuredvid &gt; ul').tabs();
});
</code></pre>

<p>Results in tabs don't close anymore.</p>

<p>jQuery is referenced in the header:</p>

<pre class=""lang-php prettyprint-override""><code>&lt;script language=""JavaScript"" type=""text/javascript"" src=""&lt;?php echo get_option('siteurl') ?&gt;/js/sprinkle.js""&gt;&lt;/script&gt;
&lt;script language=""JavaScript"" type=""text/javascript"" src=""&lt;?php echo get_option('siteurl') ?&gt;/js/jquery-1.2.6.min.js""&gt;&lt;/script&gt;
&lt;script language=""JavaScript"" type=""text/javascript"" src=""&lt;?php echo get_option('siteurl') ?&gt;/js/jquery-ui-personalized-1.5.2.packed.js""&gt;&lt;/script&gt;
</code></pre>
"
221,826782,4876,1760757,"<p>For anchors that act like buttons (for example, <em>Questions</em>, <em>Tags</em>, <em>Users</em>, etc. at the top of the Stack&nbsp;Overflow page) or tabs, is there a CSS standard way to disable the highlighting effect if the user accidentally selects the text?</p>

<p>I realize this could be done with JavaScript, and a little googling yielded the Mozilla-only <code>-moz-user-select</code> option.</p>

<p>Is there a standard-compliant way to accomplish this with CSS, and if not, what is the ""best practice"" approach?</p>
"
222,493386,1741,1759516,"<p>The question is in the title.</p>

<p>I'd like to do it in  <a href=""/questions/tagged/python"" class=""post-tag"" title=""show questions tagged &#39;python&#39;"" rel=""tag"">python</a>. What I'd like to do in this example in <a href=""/questions/tagged/c"" class=""post-tag"" title=""show questions tagged &#39;c&#39;"" rel=""tag"">c</a>:</p>

<p>In C:</p>

<pre class=""lang-c prettyprint-override""><code>#include &lt;stdio.h&gt;

int main() {
    int i;
    for (i=0; i&lt;10; i++) printf(""."");
    return 0;
}
</code></pre>

<p>Output:</p>

<pre><code>..........
</code></pre>

<p>In Python:</p>

<pre><code>&gt;&gt;&gt; for i in xrange(0,10): print '.'
.
.
.
.
.
.
.
.
.
.
&gt;&gt;&gt; for i in xrange(0,10): print '.',
. . . . . . . . . .
</code></pre>

<p>In Python <code>print</code> will add a <code>\n</code> or space, how can I avoid that? Now, it's just an example. Don't tell me I can first build a string then print it. I'd like to know how to ""append"" strings to <code>stdout</code>.</p>
"
223,4216745,843,1759505,"<p>What is the best way to convert a <code>String</code> in the format 'January 2, 2010' to a <code>Date</code> in Java?</p>

<p>Ultimately, I want to break out the month, the day, and the year as integers so that I can use</p>

<pre><code>Date date = new Date();
date.setMonth()..
date.setYear()..
date.setDay()..
date.setlong currentTime = date.getTime();
</code></pre>

<p>to convert the date into time.</p>
"
224,5135019,767,1755148,"<p>Can I assign the <code>opacity</code> property to the <code>background</code> property of a <code>div</code> only and not to the text on it?</p>

<p>I've tried:</p>

<pre><code>background: #CCC;
opacity: 0.6;
</code></pre>

<p>but this doesn't change the opacity.</p>
"
225,651038,2055,1754586,"<p>Executing the command <code>git clone git@github.com:whatever</code> creates a directory in my current folder named whatever, and drops the contents of the Git repository into that folder:</p>

<pre><code>/httpdocs/whatever/public
</code></pre>

<p>My problem is that I need the contents of the Git repository cloned into my current directory so that they appear in the proper location for the web server:</p>

<pre><code>/httpdocs/public
</code></pre>

<p>I know how to move the files after I've cloned the repository, but this seems to break Git, and I'd like to be able to update just by calling <code>git pull</code>. How can I do this?</p>
"
226,469357,777,1750713,"<p>Is there a quick way to set an HTML text input (<code>&lt;input type=text /&gt;</code>) to only allow numeric keystrokes (plus '.')?</p>
"
